Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_S2,1,38.1074,-121.6469,2017-03-01,10SFH,0.0353,0.048,0.0681,0.0932,0.111,0.1334,0.1462,0.1509,0.0749,0.0017,0.2562,0.1703,0.167,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-03-11,10SFH,0.0318,0.047,0.0731,0.0921,0.113,0.15,0.1713,0.1725,0.0589,0.0238,0.2199,0.1488,0.1923,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-03-21,10SFH,-0.0325,0.0332,0.1145,0.0697,0.0765,0.1381,0.1832,0.223,-0.0121,0.0027,0.1595,0.1484,0.2123,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-03-31,10SFH,0.0341,0.047,0.0672,0.087,0.1031,0.1482,0.1645,0.1644,0.0829,0.0013,0.248,0.165,0.1933,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-04-10,10SFH,0.0278,0.0445,0.0713,0.0889,0.1105,0.1683,0.1929,0.1851,0.0705,0.0161,0.2231,0.1485,0.2142,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-04-20,10SFH,0.0362,0.0492,0.0693,0.088,0.1043,0.1565,0.1752,0.1718,0.0824,0.0014,0.2478,0.1594,0.2181,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-04-30,10SFH,0.033,0.0472,0.0683,0.0874,0.1035,0.1501,0.1708,0.1657,0.0699,0.0012,0.2459,0.1562,0.201,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-05-10,10SFH,0.0288,0.0468,0.0783,0.0894,0.119,0.206,0.24,0.2333,0.0727,0.0357,0.2092,0.142,0.2633,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-05-20,10SFH,0.0245,0.0335,0.0594,0.0713,0.0979,0.1841,0.2092,0.2183,0.0723,0.0011,0.2164,0.1293,0.2366,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-05-30,10SFH,0.0288,0.0305,0.0616,0.0754,0.1143,0.2234,0.2657,0.2571,0.0924,0.0125,0.2036,0.1323,0.2923,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
