Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_S2,1,38.1027,-121.6413,2018-10-02,10SFH,0.0151,0.0152,0.0354,0.0401,0.0736,0.1825,0.2295,0.2379,0.0274,0.0009,0.1419,0.0728,0.2772,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-10-07,10SFH,0.0194,0.0307,0.0514,0.0625,0.0791,0.1799,0.2234,0.2416,0.0975,0.001,0.1607,0.0941,0.263,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-10-12,10SFH,0.0144,0.0177,0.0385,0.042,0.0712,0.1792,0.2273,0.2374,0.0812,0.0009,0.1412,0.0747,0.2622,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-10-17,10SFH,0.0182,0.0279,0.047,0.0547,0.0787,0.1759,0.2189,0.2311,0.0796,0.0011,0.1584,0.0884,0.2588,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-10-22,10SFH,0.0168,0.0179,0.0367,0.0396,0.0735,0.1783,0.2265,0.2346,0.0815,0.0009,0.1379,0.0725,0.2622,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-10-27,10SFH,0.0199,0.0296,0.0521,0.0602,0.0842,0.171,0.2056,0.2194,0.0485,0.0014,0.1673,0.0938,0.2609,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-11-01,10SFH,0.0211,0.0223,0.0429,0.0497,0.0802,0.1679,0.2102,0.2119,0.0533,0.0077,0.1548,0.0897,0.2532,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-11-06,10SFH,0.0211,0.0314,0.0494,0.0613,0.0783,0.1532,0.1904,0.204,0.1108,0.0014,0.1602,0.0933,0.2268,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-11-11,10SFH,0.0171,0.0176,0.0345,0.0445,0.0747,0.1574,0.1939,0.2029,0.1157,0.0021,0.1424,0.0803,0.23,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-11-16,10SFH,0.0282,0.0394,0.0518,0.0654,0.0937,0.1713,0.2106,0.2256,0.0064,0.001,0.165,0.0903,0.2623,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-11-21,10SFH,0.0531,0.0898,0.1115,0.0959,0.1069,0.1521,0.1795,0.2045,-0.0585,0.0043,0.1413,0.0978,0.2186,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-11-26,10SFH,0.0132,0.0095,0.023,0.0351,0.0483,0.0757,0.0977,0.0977,0.0092,0.0124,0.0997,0.0624,0.1304,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-12-01,10SFH,0.0976,0.1947,0.2032,0.2203,0.2443,0.2685,0.2757,0.3198,0.1238,0.0406,0.3017,0.2341,0.2837,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-12-06,10SFH,0.0259,0.0281,0.0409,0.0573,0.0721,0.1055,0.1234,0.1289,0.032,0.0012,0.1731,0.1033,0.1543,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-12-11,10SFH,0.0148,0.0011,0.0075,0.0216,0.0407,0.0587,0.08,0.0804,0.0223,0.001,0.1037,0.0628,0.1047,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-12-21,10SFH,0.5395,0.4233,0.425,0.4411,0.4382,0.468,0.4924,0.4108,0.0555,0.0147,0.3698,0.2694,0.507,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-12-26,10SFH,0.0283,0.0303,0.0458,0.0627,0.0816,0.101,0.1171,0.1251,0.0611,0.0013,0.1956,0.1247,0.154,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-12-31,10SFH,0.0323,0.0345,0.0496,0.0717,0.0928,0.1111,0.135,0.1352,0.0869,0.0016,0.2073,0.1353,0.1677,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
