Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_LS,1,38.1027,-121.6413,2015-06-09,10SFH,0.1304,0.1306,0.1676,0.1775,0.3661,0.1859,0.1571,0.0851,-11.45,-16.85,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-06-25,10SFH,0.0121,0.0213,0.0488,0.0442,0.2406,0.1068,0.06,0.0011,28.32,27.26,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-07-11,10SFH,0.0184,0.0266,0.0561,0.053,0.2902,0.1287,0.0716,0.0011,21.92,20.22,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-07-27,10SFH,0.0135,0.0208,0.0471,0.0467,0.273,0.1159,0.0628,0.0008,26.37,25.65,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-08-12,10SFH,0.0132,0.0221,0.0505,0.05,0.2977,0.1338,0.0736,0.0006,23.7,22.53,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-08-28,10SFH,0.0299,0.0545,0.1101,0.112,0.321,0.1464,0.1006,0.0308,5.91,4.77,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-09-13,10SFH,0.023,0.03,0.0885,0.0569,0.3296,0.1543,0.0939,0.0141,9.46,10.69,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-09-29,10SFH,0.0254,0.0454,0.0869,0.0939,0.2133,0.1076,0.0828,0.0325,2.43,-0.59,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-10-15,10SFH,0.0492,0.0597,0.101,0.1077,0.3142,0.218,0.1619,0.0054,16.39,11.19,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-10-31,10SFH,0.0228,0.0291,0.0497,0.0568,0.2286,0.1571,0.0944,0.0005,19.23,18.63,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-11-16,10SFH,0.0221,0.029,0.0475,0.0556,0.213,0.1477,0.0926,0.001,9.7,9.5,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-12-02,10SFH,0.0968,0.1088,0.1586,0.1873,0.3366,0.2401,0.2017,0.0737,-16.68,-18.94,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2015-12-18,10SFH,0.0352,0.0436,0.0597,0.0806,0.1798,0.1987,0.1271,0.0009,7.09,6.98,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-01-03,10SFH,0.0177,0.0322,0.0485,0.0613,0.1077,0.109,0.0769,0.0165,2.0,0.58,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-02-04,10SFH,0.0351,0.0429,0.0637,0.0803,0.1708,0.2004,0.1325,0.0013,9.51,9.04,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-02-20,10SFH,0.0314,0.0564,0.105,0.1154,0.2117,0.1778,0.1318,0.036,-0.97,-1.98,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-03-07,10SFH,0.7943,0.774,0.7249,0.7119,0.7119,0.1929,0.2122,0.0792,-27.79,-26.47,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-03-23,10SFH,0.0284,0.0398,0.0635,0.0737,0.1775,0.1791,0.1219,0.0137,12.88,10.04,130.0,0b10000010,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-04-08,10SFH,0.4006,0.3898,0.39,0.3864,0.4839,0.1279,0.1335,0.0322,-18.52,-18.42,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-04-24,10SFH,0.0265,0.0373,0.0642,0.0701,0.2386,0.1741,0.1087,0.0024,18.61,17.09,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-05-10,10SFH,0.0273,0.0354,0.0582,0.0649,0.2213,0.1639,0.0979,0.0015,22.95,21.66,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
